SYMBOL,"SUM OPTSTK,CE1","SUM OPTSTK,PE1","SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10","SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10","SUM OPTIDX,CE1","SUM OPTIDX,PE1","SUM FUTIDX,XX1","SUM %OICOPTSTK,CE1","SUM %OICOPTSTK,PE1","SUM %OICFUTSTK,XX1","SUM %OICOPTIDX,CE1","SUM %OICOPTIDX,PE1","SUM %OICFUTIDX,XX1","SUM PCROPTSTK1"
HINDALCO,8355975,5096575,28104850,27898425,27380050,28249825,27919900,21333375,14535075,14506050,6673600,3676500,44608.850000000006,45155.13,-22130.260000000002,45804.44,-108832.62,56969.37,-3077.91,-44373.31,29930.69,10626.390000000001,0,0,0,27.5366,45.6304,1.1642,0.0000,0.0000,0.0000,0.6099
HINDCOPPER,6587600,2933100,18544100,19178500,18241600,17548300,16641000,12246400,9515900,9348200,6230700,3182000,4852.64,-4969.72,-4489.97,4982.82,-15011.64,7573.530000000001,-312.43,5587.35,-5109.5199999999995,3223.55,0,0,0,5.7663,2.9426,3.9777,0.0000,0.0000,0.0000,0.4452
HINDPETRO,3404700,2332800,20347200,20093400,19264500,19021500,18794700,14337000,9471600,9385200,4989600,2648700,-7048.61,6562.499999999999,-5396,-5676.0599999999995,-19910.95,17229.949999999997,-762.09,-13789.86,8716.18,2516.3500000000004,0,0,0,4.2566,0.2736,0.2479,0.0000,0.0000,0.0000,0.6852
HINDUNILVR,2316900,1747800,7834200,7770600,7979700,8079900,8242800,7291200,4985700,4963800,3399000,2220900,39403.159999999996,-41092.91,-33245.98,-40117.64,-82146.73,-115124.75,23265.69,73898.22,41130.79,13182.68,0,0,0,6.5315,12.2518,0.8231,0.0000,0.0000,0.0000,0.7544
HONAUT,3780,585,30150,30465,30720,30780,18885,15825,9435,9330,5175,1170,-2514.5099999999998,-4615.14,-6200.76,14917.259999999998,-4339.41,-4581.99,108.05,2791.42,2149.91,672.38,0,0,0,0.2451,0.0111,0.3631,0.0000,0.0000,0.0000,0.1548
IBULHSGFIN,9264000,5056000,40936000,40856000,40688000,39696000,37348000,30596000,9212000,6872000,6932000,6956000,11419.58,-8629.429999999998,-12644.02,16598.32,-25093.53,46947.82,5939.04,57.230000000000004,-35.92,55.49,0,0,0,4.9622,8.5227,0.2442,0.0000,0.0000,0.0000,0.5458
ICICIBANK,24747250,12880325,80639500,79311875,77325625,76554025,75167125,65573750,51392000,50143500,36445750,27761250,-90398.34,180668.48,-120620.15000000001,172300.58999999997,-263819.07,285017.85000000003,-62721.780000000006,206677.87,-114356.7,140903.24,0,0,0,0.8350,1.6853,0.2130,0.0000,0.0000,0.0000,0.5205
ICICIGI,375700,216750,4983975,4950400,4858175,4777425,4809300,4184550,2810950,2804575,1809650,753100,6290.5,-6014.070000000001,6691.94,-4003.21,-16296.43,-24630.66,873.27,19991.14,-18145.91,10451.81,0,0,0,0.3177,0.0178,0.4174,0.0000,0.0000,0.0000,0.5769
ICICIPRULI,1083000,1128000,7398000,7369500,7251000,7138500,7011000,5098500,3919500,3910500,3046500,805500,-3676.5299999999997,9056.45,6257.79,-6574.150000000001,22035.170000000002,16621.28,-431.21000000000004,-16161.03,19555.75,3571.09,0,0,0,5.8063,2.1593,0.0039,0.0000,0.0000,0.0000,1.0416
IDEA,221200000,137690000,566090000,563080000,562800000,560070000,536340000,442330000,359380000,359240000,285950000,186900000,-1517.63,4950.330000000001,-2805.11,7132.29,-32049.5,20540.31,-857.8100000000001,15549.97,12664.53,7545.71,0,0,0,3.2404,0.5903,1.5411,0.0000,0.0000,0.0000,0.6225
IDFC,21650000,19380000,110730000,111530000,110790000,110630000,110540000,95110000,60310000,59010000,29780000,8850000,5714.48,-7220.360000000001,-9046.08,8207.42,-32433.06,39003.37,-3566.15,-38046.58,20719.2,5277.77,0,0,0,2.1859,1.0310,0.0148,0.0000,0.0000,0.0000,0.8952
IDFCFIRSTB,95490000,48060000,160665000,164160000,166170000,170310000,169740000,137670000,107055000,103260000,70395000,20985000,25566.75,-18121.409999999996,-22950.1,27976.36,-67422.06,64892.34,-13229.82,-39482.659999999996,43229.81,11343.37,0,0,0,5.4115,5.0626,1.1765,0.0000,0.0000,0.0000,0.5033
IEX,17445000,14212500,48322500,49537500,49965000,49271250,48555000,35707500,26842500,26227500,17951250,14955000,13376.84,8747.03,9716.169999999998,-8762.759999999998,-38183.26,31015.85,-2397.55,23876.73,-10468.72,7597.820000000001,0,0,0,7.4945,5.5342,0.2789,0.0000,0.0000,0.0000,0.8147
