SYMBOL,EXPIRY_DT,"SUM CE,OPEN_INT","SUM PE,OPEN_INT","%D_CE,OPEN_INT","%D_PE,OPEN_INT","%D_XX,OPEN_INT",PCR,"XX,OPEN_INT","XX,CLOSE","D_XX,CLOSE","XX,VAL_INLAKH",DELIV_PER,"SUM CE,CONTRACTS","SUM PE,CONTRACTS",PCV,"%D_SUM CE,CONTRACTS","%D_SUM PE,CONTRACTS",DAY
IBULHSGFIN,24-Nov-2022,488000,88000,0.0000,0.0000,-0.0055,0.1803,6500000,126,1,45.55," 19.16",0,0,0.0000,0.0000,0.0000,Day1
IBULHSGFIN,29-Dec-2022,4000,4000,0.0000,0.0000,0.0000,1.0000,508000,128.65,0,0," 19.16",0,0,0.0000,0.0000,0.0000,Day1
ICICIBANK,27-Oct-2022,23326875,13087250,0.0338,0.0291,-0.0166,0.5610,70195125,885.75,14.600000000000023,154793.16," 48.64",32207,13978,0.4340,0.1252,-0.0762,Day1
ICICIBANK,24-Nov-2022,1170125,657250,0.5306,0.2579,0.2804,0.5617,3936625,889.05,14,18355.03," 48.64",1045,463,0.4431,0.9829,0.7672,Day1
ICICIBANK,29-Dec-2022,6875,8250,0.0000,0.2000,-0.1077,1.2000,159500,894,14.899999999999977,903.4," 48.64",0,1,0.0000,-1.0000,0.0000,Day1
ICICIGI,27-Oct-2022,2219350,568225,-0.0642,0.0687,-0.0006,0.2560,5258100,1130.9,5,5929.74," 76.77",8065,592,0.0734,0.3739,-0.1967,Day1
ICICIGI,24-Nov-2022,8500,5100,0.1111,0.0909,0.4100,0.6000,216325,1135.25,4.650000000000091,1338.46," 76.77",5,1,0.2000,0.6667,0.0000,Day1
ICICIGI,29-Dec-2022,0,1275,0.0000,0.0000,0.0000,0.0000,3400,1137.35,0,0," 76.77",0,0,0.0000,0.0000,0.0000,Day1
ICICIPRULI,27-Oct-2022,1996500,1189500,0.0447,0.0299,0.0190,0.5958,6747000,511.8,-3.749999999999943,10385.34," 38.08",3469,1567,0.4517,-0.1112,0.3439,Day1
ICICIPRULI,24-Nov-2022,10500,3000,0.4000,1.0000,0.1973,0.2857,264000,510.65,-3.6000000000000227,946.41," 38.08",6,1,0.1667,0.5000,0.0000,Day1
ICICIPRULI,29-Dec-2022,0,0,0.0000,0.0000,0.0000,0.0000,10500,519.15,0,0," 38.08",0,0,0.0000,0.0000,0.0000,Day1
